5,5,5,4
4,4,4,4
5,5,4,4
5,5,5,4
5,5,5,5
4,4,4,4
5,4,4,4
5,5,4,4
4,4,4,4
4,4,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,5,4
4,4,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,5,5
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
4,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,5,5,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,5,4
5,5,5,4
5,5,5,4
5,5,5,4
5,4,4,4
5,5,5,4
5,4,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,5,5
5,5,5,5
5,5,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,5,5,5
5,4,4,4
5,4,4,4
4,4,4,4
4,4,4,4
5,4,4,4
5,5,5,4
4,4,4,4
5,4,4,4
5,5,5,4
5,5,5,4
5,5,5,4
5,5,4,4
5,4,4,4
5,5,5,4
5,4,4,4
5,5,5,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,5,4
5,5,5,5
5,5,5,4
4,4,4,4
4,4,4,4
5,5,5,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,5,4,4
6,5,5,4
5,5,4,4
5,5,5,4
4,4,4,4
5,4,4,4
4,4,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,5,4
5,4,4,4
4,4,4,4
5,4,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,5,5,4
4,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,5,5
5,4,4,4
6,5,5,4
4,4,4,4
5,5,5,4
5,5,5,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,5,4
5,4,4,4
5,5,5,5
5,5,5,4
5,5,5,5
5,5,4,4
5,5,5,4
5,5,5,5
5,4,4,4
5,5,4,4
5,5,4,4
5,5,5,5
5,5,5,4
5,5,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,5,5,4
5,5,4,4
4,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,5,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,5,5
5,4,4,4
5,4,4,4
5,5,5,4
5,5,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,5,5,4
4,4,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,4,4,4
4,4,4,4
4,4,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,4,4,4
6,5,5,4
5,5,5,4
5,5,5,4
5,5,5,4
6,5,5,5
5,4,4,4
5,5,4,4
5,4,4,4
4,4,4,4
5,4,4,4
5,4,4,4
4,4,4,4
5,5,5,5
5,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,5,4
4,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,5,5,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
4,4,4,4
5,5,4,4
4,4,4,4
5,5,4,4
5,5,5,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,5,4,4
5,5,5,4
5,5,5,4
5,4,4,4
5,4,4,4
4,4,4,4
4,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,5,5,5
5,5,4,4
5,5,4,4
5,4,4,4
4,4,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,5,5,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,4,4
6,5,5,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,5,5,4
5,5,5,4
5,4,4,4
5,5,4,4
4,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,5,4
5,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,5,5
5,5,5,5
5,4,4,4
4,4,4,4
5,4,4,4
4,4,4,4
5,5,5,4
5,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,5,5,4
4,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,5,4
5,5,5,5
5,4,4,4
4,4,4,4
5,5,4,4
4,4,4,4
5,5,5,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,5,4
5,5,4,4
5,5,5,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
4,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
4,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,5,4
6,5,5,5
5,4,4,4
6,5,5,4
5,5,4,4
4,4,4,4
5,5,4,4
5,5,5,4
5,4,4,4
4,4,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,5,5,4
5,4,4,4
5,5,4,4
5,5,4,4
6,5,5,4
5,4,4,4
4,4,4,4
5,5,5,4
5,4,4,4
5,5,5,4
4,4,4,4
4,4,4,4
5,5,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
4,4,4,4
5,5,4,4
5,4,4,4
4,4,4,4
5,5,4,4
4,4,4,4
5,5,5,5
5,4,4,4
5,4,4,4
6,5,5,4
5,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,5,4,4
5,4,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
6,5,5,5
5,5,5,5
4,4,4,4
5,5,4,4
5,5,4,4
5,5,5,4
5,5,5,4
5,4,4,4
5,5,4,4
5,4,4,4
5,5,5,4
4,4,4,4
5,5,5,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,5,5,4
4,4,4,4
5,5,5,4
5,5,5,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,5,4
5,4,4,4
4,4,4,4
5,4,4,4
5,5,5,4
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
4,4,4,4
5,5,4,4
5,4,4,4
5,5,5,5
5,5,5,4
4,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,5,4
5,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
4,4,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,5,4
5,5,4,4
5,5,5,4
5,5,4,4
4,4,4,4
5,5,5,4
5,4,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,5,4,4
4,4,4,4
4,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,5,5
6,5,5,5
5,4,4,4
5,5,5,4
5,5,4,4
4,4,4,4
5,5,4,4
5,5,4,4
4,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,5,5,4
5,5,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,5,5,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
4,4,4,4
6,5,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,4,4,4
4,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,5,5
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,5,4
5,4,4,4
4,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
6,5,5,5
5,5,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
4,4,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,5,5,4
5,5,4,4
5,5,5,4
4,4,4,3
4,4,4,3
5,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,5,5
5,5,4,4
5,5,4,4
5,5,5,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,5,4
5,4,4,4
4,4,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,4,4,4
4,4,4,4
5,5,5,4
5,5,4,4
5,4,4,4
5,4,4,4
5,5,5,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,5,4
5,4,4,4
5,4,4,4
5,5,5,5
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
4,4,4,4
5,5,5,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
4,4,4,4
5,5,5,5
5,5,4,4
5,4,4,4
4,4,4,4
5,4,4,4
6,5,5,5
5,5,5,4
5,5,5,4
5,5,5,4
5,5,4,4
5,5,4,4
4,4,4,4
5,5,4,4
5,5,4,4
5,5,5,4
5,4,4,4
5,5,5,4
4,4,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,4,4,4
4,4,4,4
5,5,5,5
5,4,4,4
5,5,4,4
4,4,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,5,4,4
5,4,4,4
5,5,4,4
4,4,4,4
5,5,5,4
5,4,4,4
5,4,4,4
6,5,5,5
5,5,5,4
5,4,4,4
5,5,5,4
5,5,5,4
5,5,5,4
4,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,5,4,4
5,4,4,4
5,4,4,4
5,4,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,4,4
5,5,4,4
5,5,4,4
4,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,5,5,4
5,5,5,4
4,4,4,4
5,5,4,4
5,4,4,4
5,4,4,4
